county,site,total,dem,rep,estimated,basis,source
Dallas,Dallas College-R Jan LeCroy Ctr,2637,2000,637,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Dallas,Martin Weiss Recreation Center,2616,2301,315,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Tarrant,Dover Fellowship Hall,2614,1177,1437,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Denton,Flower Mound Public Library,2608,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Dallas,Harry Stone Recreation Center,2596,2073,523,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Harris,Lone Star College North Harris,2561,2138,423,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Bexar,Bexar County Elections Department,2559,2118,441,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
El Paso,Arlington Park Shelter,2554,1693,861,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Denton,North Branch Library,2532,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Denton,Celina Fire Station #3,2519,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
El Paso,The Shoppes at Solana,2493,1729,764,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Harris,Harris County Attorney Conference Center,2493,2056,437,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Dallas,Grauwyler Park Recreation Center,2475,2044,431,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
El Paso,Esperanza Acosta Moreno Library,2467,1871,596,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Hidalgo,Sgt. Fernando De La Rosa Library,2434,1794,640,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Denton,Roanoke Public Library,2426,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Collin,Anna Municipal Complex,2417,1155,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Dallas,Balch Springs Recreation Center,2406,2099,307,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Collin,Princeton Municipal Center,2389,1142,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Harris,J D Walker Community Center,2387,1396,991,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Travis,Balcones Bingo,2381,1716,665,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Bexar,Precinct 1 Satellite Office,2370,1736,634,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
