county,site,total,dem,rep,estimated,basis,source
Fort Bend,REESE TECHNICAL CENTER,3999,2268,1731,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Denton,Frisco Fire Station #4,3925,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Bexar,Fair Oaks Ranch Police Dept.,3923,1364,2559,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Hidalgo,UTRGV,3919,3289,630,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Denton,South Branch Library,3885,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Williamson,Liberty Hill ISD Gym Annex,3847,,,,primary 2026,https://www.wilcotx.gov/DocumentCenter/View/18720/Unofficial-Early-Voting-Summary-for-the-March-3-2026-Primary
Brazoria,Angleton,3830,1105,2725,,primary 2026,https://www.brazoriacountyclerktx.gov/home/showpublisheddocument/29250/639078286362930000 (DEM; via web.archive.org/web/20260306001741) ; https://www.brazoriacountyclerktx.gov/home/showpublisheddocument/29248/639078206102900000 (REP; via web.archive.org/web/20260306001833)
Hidalgo,Mission Parks and Recreation Center,3812,2858,954,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Tarrant,Asia Times Square,3796,2828,968,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Denton,Frisco Fire Station #7,3792,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Fort Bend,FULSHEAR BRANCH LIBRARY,3788,1687,2101,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Harris,Sheraton Houston Brookhollow Hotel,3783,2858,925,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Bexar,Mission Branch Library,3782,3023,759,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Hidalgo,Fireman's Pumphouse,3750,2602,1148,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Collin,Collin County Elections,3747,1791,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Bexar,Northside Activity Center,3733,2836,897,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Bexar,Christian Family Baptist Church,3725,2506,1219,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Bexar,Helotes City Hall,3702,2096,1606,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Harris,Lone Star College Victory Center,3690,3119,571,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Travis,Christ Episcopal Church,3684,1927,1757,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Harris,Moody Park Community Center,3678,3141,537,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Hidalgo,Franklin D. Roosevelt Complex,3667,2787,880,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Cameron,Harlingen County Annex Bldg.,3631,2050,1581,,primary 2026,https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/01_2026_DEMOCRATIC_PRIMARY2-27-2026.pdf ; https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/02_2026_REPUBLICAN_PRIMARY2-27-2026.pdf
Tarrant,Charles F Griffin Building,3631,3473,158,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Bexar,University of Texas at San Antonio,3616,2927,689,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Fort Bend,JACKS CONFERENCE CENTER,3599,1597,2002,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Tarrant,Legacy Learning Center Northwest ISD,3588,1512,2076,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Tarrant,City of Forest Hill City Hall,3580,3243,337,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Dallas,Dallas College-Pleasant Grove Ctr,3573,3333,240,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Denton,Flower Mound Senior Center,3554,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Denton,Flower Mound Community Activity Center,3525,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Tarrant,Southside Community Center,3521,3169,352,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Fort Bend,ROSENBERG ANNEX,3473,2171,1302,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Williamson,Anderson Mill Limited District,3473,,,,primary 2026,https://www.wilcotx.gov/DocumentCenter/View/18720/Unofficial-Early-Voting-Summary-for-the-March-3-2026-Primary
Denton,Highland Village Municipal Complex,3433,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Dallas,Farmers Branch Manske Library,3415,2202,1213,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Denton,Steven E. Copeland Government Center,3400,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Travis,Travis County Clerk,3374,3184,190,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Webb,Cigarroa Rec. Center,3363,3112,251,,primary 2026,https://www.webbcountytx.gov/DocumentCenter/View/2280/Daily-Totals-PDF
Fort Bend,QUAIL VALLEY FUND OFFICE,3344,2077,1267,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Harris,BakerRipley Ripley House,3323,2949,374,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Harris,Hilton Houston Post Oak by the Galleria,3321,1928,1393,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Hidalgo,San Juan Memorial Library,3320,2784,536,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Harris,HCC Southeast College Building C Parking Garage,3319,2746,573,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Dallas,Skyline Branch Library,3311,3068,243,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Collin,Frisco Fire Station #8,3304,1579,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Williamson,Georgetown Annex,3302,,,,primary 2026,https://www.wilcotx.gov/DocumentCenter/View/18720/Unofficial-Early-Voting-Summary-for-the-March-3-2026-Primary
Bexar,Schaefer Branch Library,3296,1984,1312,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Collin,Prosper Town Hall,3268,1562,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Fort Bend,LOST CREEK CONFERENCE CENTER,3262,1684,1578,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Harris,Sterling Municipal Library,3260,1684,1576,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Harris,Crosby Community Center,3257,1073,2184,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Denton,Corinth City Hall,3256,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Tarrant,Brookside Center,3253,1555,1698,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Travis,Gus Garcia Recreation Center,3251,2882,369,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Dallas,Sachse City Hall,3250,1561,1689,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
